"","name","genus","species","floron","radar"
"1769","Galium mollugo","Galium","mollugo",FALSE,TRUE
"1770","Glaucium corniculatum","Glaucium","corniculatum",FALSE,TRUE
"1771","Glebionis coronaria","Glebionis","coronaria",FALSE,TRUE
"1772","Gossypium arboreum","Gossypium","arboreum",FALSE,TRUE
"1773","Gossypium herbaceum","Gossypium","herbaceum",FALSE,TRUE
"1774","Guizotia abyssinica","Guizotia","abyssinica",FALSE,TRUE
"1775","Gypsophila paniculata","Gypsophila","paniculata",FALSE,TRUE
"1776","Helianthus annuus","Helianthus","annuus",FALSE,TRUE
"1777","Hibiscus trionum","Hibiscus","trionum",FALSE,TRUE
"1778","Hieracium laevigatum","Hieracium","laevigatum",FALSE,TRUE
"1779","Hieracium umbellatum","Hieracium","umbellatum",FALSE,TRUE
"1780","Hordelymus europaeus","Hordelymus","europaeus",FALSE,TRUE
"1781","Hordeum (wild)","Hordeum","(wild)",FALSE,TRUE
"1782","Hordeum vulgare","Hordeum","vulgare",FALSE,TRUE
"1783","Hordeum vulgare fo. tetrastichum","Hordeum","vulgare fo. tetrastichum",FALSE,TRUE
"1784","Hordeum vulgare subsp. distichum","Hordeum","vulgare subsp. distichum",FALSE,TRUE
"1785","Hordeum vulgare subsp. distichum var. vulgare","Hordeum","vulgare subsp. distichum var. vulgare",FALSE,TRUE
"1786","Hordeum vulgare subsp. vulgare","Hordeum","vulgare subsp. vulgare",FALSE,TRUE
"1787","Hordeum vulgare subsp. vulgare fo. tetrastichum","Hordeum","vulgare subsp. vulgare fo. tetrastichum",FALSE,TRUE
"1788","Hordeum vulgare subsp. vulgare var. vulgare","Hordeum","vulgare subsp. vulgare var. vulgare",FALSE,TRUE
"1789","Hordeum vulgare subsp. vulgare var. vulgare fo. hexastichum","Hordeum","vulgare subsp. vulgare var. vulgare fo. hexastichum",FALSE,TRUE
"1790","Hordeum vulgare subsp. vulgare var. vulgare fo. tetrastichum","Hordeum","vulgare subsp. vulgare var. vulgare fo. tetrastichum",FALSE,TRUE
"1791","Hordeum vulgare var. nudum","Hordeum","vulgare var. nudum",FALSE,TRUE
"1792","Hordeum vulgare var. vulgare","Hordeum","vulgare var. vulgare",FALSE,TRUE
"1793","Triticum aestivum","Triticum","aestivum",FALSE,TRUE
"1794","Triticum dicoccon","Triticum","dicoccon",FALSE,TRUE
"1795","Hypericum maculatum","Hypericum","maculatum",FALSE,TRUE
"1796","Hyssopus officinalis","Hyssopus","officinalis",FALSE,TRUE
"1797","Jacobaea vulgaris","Jacobaea","vulgaris",FALSE,TRUE
"1798","Lactuca sativa","Lactuca","sativa",FALSE,TRUE
"1799","Lagenaria siceraria","Lagenaria","siceraria",FALSE,TRUE
"1800","Larix decidua","Larix","decidua",FALSE,TRUE
"1801","Laurus nobilis","Laurus","nobilis",FALSE,TRUE
"1802","Lavandula officinalis","Lavandula","officinalis",FALSE,TRUE
"1803","Lens culinaris","Lens","culinaris",FALSE,TRUE
"1804","Pisum sativum","Pisum","sativum",FALSE,TRUE
"1805","Lepidium sativum","Lepidium","sativum",FALSE,TRUE
"1806","Linum usitatissimum","Linum","usitatissimum",FALSE,TRUE
"1807","Lithospermum (Buglossoides)","Lithospermum","(Buglossoides)",FALSE,TRUE
"1808","Lotus corniculatus","Lotus","corniculatus",FALSE,TRUE
"1809","Luzula multiflora","Luzula","multiflora",FALSE,TRUE
"1810","Malus x domestica","Malus","x domestica",FALSE,TRUE
"1811","Melica ciliata","Melica","ciliata",FALSE,TRUE
"1812","Melica nutans","Melica","nutans",FALSE,TRUE
"1813","Minuartia hybrida","Minuartia","hybrida",FALSE,TRUE
"1814","Morus nigra","Morus","nigra",FALSE,TRUE
"1815","Myosotis scorpioides","Myosotis","scorpioides",FALSE,TRUE
"1816","Myosotis laxa (subsp. cespitosa)","Myosotis","laxa (subsp. cespitosa)",FALSE,TRUE
"1817","Myosotis laxa","Myosotis","laxa",FALSE,TRUE
"1818","Myrtus communis","Myrtus","communis",FALSE,TRUE
"1819","Neslia paniculata","Neslia","paniculata",FALSE,TRUE
"1820","Nicotiana tabacum","Nicotiana","tabacum",FALSE,TRUE
"1821","Ocimum basilicum","Ocimum","basilicum",FALSE,TRUE
"1822","Odontites vernus","Odontites","vernus",FALSE,TRUE
"1823","Oenanthe peucedanifolia","Oenanthe","peucedanifolia",FALSE,TRUE
"1824","Olea europaea","Olea","europaea",FALSE,TRUE
"1825","Origanum majorana","Origanum","majorana",FALSE,TRUE
"1826","Ornithopus sativus","Ornithopus","sativus",FALSE,TRUE
"1827","Oryza sativa","Oryza","sativa",FALSE,TRUE
"1828","Papaver somniferum","Papaver","somniferum",FALSE,TRUE
"1829","Papaver somniferum subsp. setigerum","Papaver","somniferum subsp. setigerum",FALSE,TRUE
"1830","Pastinaca sativa","Pastinaca","sativa",FALSE,TRUE
"1831","Persicaria lapathifolia subsp. pallidum","Persicaria","lapathifolia subsp. pallidum",FALSE,TRUE
"1832","Petroselinum crispum","Petroselinum","crispum",FALSE,TRUE
"1833","Phaseolus vulgaris","Phaseolus","vulgaris",FALSE,TRUE
"1834","Phoenix dactylifera","Phoenix","dactylifera",FALSE,TRUE
"1835","Picea abies","Picea","abies",FALSE,TRUE
"1836","Pimenta dioica","Pimenta","dioica",FALSE,TRUE
"1837","Pimpinella anisum","Pimpinella","anisum",FALSE,TRUE
"1838","Pinus pinea","Pinus","pinea",FALSE,TRUE
"1839","Pisum sativum subsp. sativum","Pisum","sativum subsp. sativum",FALSE,TRUE
"1840","Vicia faba","Vicia","faba",FALSE,TRUE
"1841","Vicia faba var. minor","Vicia","faba var. minor",FALSE,TRUE
"1842","Vicia sativa","Vicia","sativa",FALSE,TRUE
"1843","Plantago major","Plantago","major",FALSE,TRUE
"1844","Poa angustifolia","Poa","angustifolia",FALSE,TRUE
"1845","Poa pratensis","Poa","pratensis",FALSE,TRUE
"1846","Puccinellia distans","Puccinellia","distans",FALSE,TRUE
"1847","Polycnemum arvense","Polycnemum","arvense",FALSE,TRUE
"1848","Portulaca oleracea subsp. oleracea","Portulaca","oleracea subsp. oleracea",FALSE,TRUE
"1849","Portulaca oleracea subsp. sativa","Portulaca","oleracea subsp. sativa",FALSE,TRUE
"1850","Prunus armeniaca","Prunus","armeniaca",FALSE,TRUE
"1851","Prunus cerasus","Prunus","cerasus",FALSE,TRUE
"1852","Prunus domestica","Prunus","domestica",FALSE,TRUE
"1853","Prunus domestica ""Pershore""","Prunus","domestica ""Pershore""",FALSE,TRUE
"1854","Prunus domestica ""Tonneboer""","Prunus","domestica ""Tonneboer""",FALSE,TRUE
"1855","Prunus domestica subsp. domestica","Prunus","domestica subsp. domestica",FALSE,TRUE
"1856","Prunus domestica subsp. domestica (Gro-10)","Prunus","domestica subsp. domestica (Gro-10)",FALSE,TRUE
"1857","Prunus domestica subsp. domestica (Gro-7)","Prunus","domestica subsp. domestica (Gro-7)",FALSE,TRUE
"1858","Prunus domestica subsp. domestica (Gro-8)","Prunus","domestica subsp. domestica (Gro-8)",FALSE,TRUE
"1859","Prunus domestica subsp. domestica (Gro-9)","Prunus","domestica subsp. domestica (Gro-9)",FALSE,TRUE
"1860","Prunus domestica subsp. insititia","Prunus","domestica subsp. insititia",FALSE,TRUE
"1861","Prunus domestica subsp. insititia (Gro-1)","Prunus","domestica subsp. insititia (Gro-1)",FALSE,TRUE
"1862","Prunus domestica subsp. insititia (Gro-11)","Prunus","domestica subsp. insititia (Gro-11)",FALSE,TRUE
"1863","Prunus domestica subsp. insititia (Gro-12)","Prunus","domestica subsp. insititia (Gro-12)",FALSE,TRUE
"1864","Prunus domestica subsp. insititia (Gro-13)","Prunus","domestica subsp. insititia (Gro-13)",FALSE,TRUE
"1865","Prunus domestica subsp. insititia (Gro-2)","Prunus","domestica subsp. insititia (Gro-2)",FALSE,TRUE
"1866","Prunus domestica subsp. insititia (Gro-3)","Prunus","domestica subsp. insititia (Gro-3)",FALSE,TRUE
"1867","Prunus domestica subsp. insititia (Gro-4)","Prunus","domestica subsp. insititia (Gro-4)",FALSE,TRUE
"1868","Prunus domestica subsp. insititia (Gro-5)","Prunus","domestica subsp. insititia (Gro-5)",FALSE,TRUE
"1869","Prunus domestica subsp. insititia (Gro-5a)","Prunus","domestica subsp. insititia (Gro-5a)",FALSE,TRUE
"1870","Prunus domestica subsp. insititia (Gro-5b)","Prunus","domestica subsp. insititia (Gro-5b)",FALSE,TRUE
"1871","Prunus domestica subsp. insititia (Gro-6)","Prunus","domestica subsp. insititia (Gro-6)",FALSE,TRUE
"1872","Prunus domestica subsp. insititia var. intermedia","Prunus","domestica subsp. insititia var. intermedia",FALSE,TRUE
"1873","Prunus domestica subsp. insititia var. italica","Prunus","domestica subsp. insititia var. italica",FALSE,TRUE
"1874","Prunus domestica subsp. insititia var. syriaca","Prunus","domestica subsp. insititia var. syriaca",FALSE,TRUE
"1875","Prunus dulcis","Prunus","dulcis",FALSE,TRUE
"1876","Prunus persica","Prunus","persica",FALSE,TRUE
"1877","Punica granatum","Punica","granatum",FALSE,TRUE
"1878","Pyrus pyraster","Pyrus","pyraster",FALSE,TRUE
"1879","Quercus palustris","Quercus","palustris",FALSE,TRUE
"1880","subg. Batrachium","subg.","Batrachium",FALSE,TRUE
"1881","Ranunculus subg. Batrachium","Ranunculus","subg. Batrachium",FALSE,TRUE
"1882","Ranunculus subg. Ranunculus","Ranunculus","subg. Ranunculus",FALSE,TRUE
"1883","Raphanus sativus","Raphanus","sativus",FALSE,TRUE
"1884","Rhamnus frangula","Rhamnus","frangula",FALSE,TRUE
"1885","Rosa canina","Rosa","canina",FALSE,TRUE
"1886","Rosa rubiginosa","Rosa","rubiginosa",FALSE,TRUE
"1887","Rosmarinus officinalis","Rosmarinus","officinalis",FALSE,TRUE
"1888","Rubus fruticosus s.l.","Rubus","fruticosus s.l.",FALSE,TRUE
"1889","Rubus subg. Rubus","Rubus","subg. Rubus",FALSE,TRUE
"1890","Rumex acetosella subsp. angiocarpus","Rumex","acetosella subsp. angiocarpus",FALSE,TRUE
"1891","Rumex obtusifolius subsp. obtusifolius","Rumex","obtusifolius subsp. obtusifolius",FALSE,TRUE
"1892","Rumex obtusifolius subsp. transiens","Rumex","obtusifolius subsp. transiens",FALSE,TRUE
"1893","Sagina subulata","Sagina","subulata",FALSE,TRUE
"1894","Salicornia europaea s.l.","Salicornia","europaea s.l.",FALSE,TRUE
"1895","Salicornia europaea s.s.","Salicornia","europaea s.s.",FALSE,TRUE
"1896","Salix fragilis","Salix","fragilis",FALSE,TRUE
"1897","Salvia officinalis","Salvia","officinalis",FALSE,TRUE
"1898","Salvinia natans","Salvinia","natans",FALSE,TRUE
"1899","Satureja hortensis","Satureja","hortensis",FALSE,TRUE
"1900","Satureja montana","Satureja","montana",FALSE,TRUE
"1901","Schoenoplectiella mucronata","Schoenoplectiella","mucronata",FALSE,TRUE
